"","market","airlineaa","airlinedl","airlineua","airlineal","airlinelcc","airlinewn","airport1","state1","city1","population1","route1","tourism1","airport2","state2","city2","population2","route2","tourism2","distance","distancesq","passengers","airpresence","population","route","firm_nb"
"82","ABQTPA",1,1,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"TPA","US-FL","Tampa",303447,92,1,1497,2241009,5996,8976012,376027,79.5,4
"83","ABQTUL",1,0,0,0,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"TUL","US-OK","Tulsa",393049,52,0,608,369664,2097,1274976,420828,59.5,2
"84","ABQTUS",0,0,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"TUS","US-AZ","Tucson",486699,60,0,321,103041,6885,2210085,467653,63.5,2
"85","ABQTYS",0,1,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"TYS","US-TN","Knoxville",173890,38,0,1339,1792921,962,1288118,311248.5,52.5,1
"86","AGSATL",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"ATL","US-GA","Atlanta",416474,97,0,143,20449,598,85514,305828,60,1
"87","AGSBNA",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"BNA","US-TN","Nashville",545524,86,0,357,127449,404,144228,370353,54.5,1
"88","AGSBOS",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"BOS","US-MA","Boston",589141,90,0,867,751689,931,807177,392161.5,56.5,1
"89","AGSBWI",0,0,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"BWI","US-MD","Baltimore",651154,85,0,500,250000,633,316500,423168,54,0
"90","AGSCVG",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"CVG","US-KY","Cincinnati",331285,70,0,420,176400,441,185220,263233.5,46.5,1
"91","AGSDAL",0,0,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"DAL","US-TX","Dallas",1188580,93,0,864,746496,53,45792,691881,58,0
"92","AGSDCA",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"DCA","US-DC","Washington",572059,87,0,470,220900,893,419710,383620.5,55,1
"93","AGSDEN",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"DEN","US-CO","Denver",554636,95,0,1342,1800964,557,747494,374909,59,1
"94","AGSDFW",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"DFW","US-TX","Dallas-Fort Worth",534694,98,0,874,763876,955,834670,364938,60.5,1
"95","AGSFLL",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"FLL","US-FL","Fort Lauderdale",152397,84,1,724,524176,460,333040,173789.5,53.5,1
"96","AGSLAX",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"LAX","US-CA","Los Angeles",3694820,95,1,2089,4363921,593,1238777,1945001,59,1
"97","AGSLGA",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"LGA","US-NY","New York",8008278,87,0,683,466489,1101,751983,4101730,55,1
"98","AGSMCI",0,0,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"MCI","US-MO","Kansas City",441545,86,0,835,697225,339,283065,318363.5,54.5,0
"99","AGSMCO",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"MCO","US-FL","Orlando",185951,92,1,546,298116,530,289380,190566.5,57.5,1
"100","AGSMEM",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"MEM","US-TN","Memphis",650100,70,0,475,225625,519,246525,422641,46.5,1
"101","AGSMIA",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"MIA","US-FL","Miami",362470,89,1,738,544644,514,379332,278826,56,1
"102","AGSMSY",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"MSY","US-LA","New Orleans",484674,87,0,568,322624,387,219816,339928,55,1
"103","AGSORD",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"ORD","US-IL","Chicago",2896016,97,0,677,458329,1144,774488,1545599,60,1
