v1,market,airlineaa,airlineal,airlinedl,airlinelcc,airlineua,airlinewn,city_pairaa,operate1aa,operate2aa,passengeraa,distaa,airpresenceaa,routeaa,lairpresenceaa,city_pairal,operate1al,operate2al,passengeral,distal,airpresenceal,routeal,lairpresenceal,city_pairdl,operate1dl,operate2dl,passengerdl,distdl,airpresencedl,routedl,lairpresencedl,city_pairlcc,operate1lcc,operate2lcc,passengerlcc,distlcc,airpresencelcc,routelcc,lairpresencelcc,city_pairua,operate1ua,operate2ua,passengerua,distua,airpresenceua,routeua,lairpresenceua,city_pairwn,operate1wn,operate2wn,passengerwn,distwn,airpresencewn,routewn,lairpresencewn,airport1,state1,city1,population1,route1,tourism1,airport2,state2,city2,population2,route2,tourism2,population,firm_nb,tourism,lpopulation,distancesq,distance,ldistance,ldistancesq
11,ABEMIA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,154,1287,198198,110,12.197027,0,0,1,0,0,0,0,0,1,1,1,14,1851,25914,98.5,10.162578,0,0,0,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,MIA,US-FL,Miami,362470,89,1,234551,1,1,12.365428,1140624,1068,6.9735432,13.947086
12,ABEMSY,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,212,1123.7894,238243.36,111,12.381052,0,0,1,0,0,0,0,0,1,1,1,44,1491,65604,91,11.091407,0,0,1,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,MSY,US-LA,New Orleans,484674,87,0,295653,2,0,12.596942,1234321,1111,7.0130157,14.026031
13,ABEORD,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,6,1165.25,6991.5,110,8.8525934,0,0,1,14,1007.5,14105,42,9.5543556,0,1,1,2550,656.36743,1673737,122,14.33057,0,0,0,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,ORD,US-IL,Chicago,2896016,97,0,1501324,2,0,14.221858,427716,654,6.4831076,12.966215
14,ABEPBI,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,202,1237,249874,110.5,12.428716,0,0,1,0,0,0,0,0,1,1,1,7,1798,12586,82,9.4404202,0,0,1,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,PBI,US-FL,West Palm Beach,82103,68,1,94367.5,1,1,11.454952,1012036,1006,6.9137373,13.827475
15,ABERSW,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,290,1207,350030,111,12.765777,0,0,1,0,0,0,0,0,1,1,1,6,1774,10644,86.5,9.2728453,0,0,0,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,RSW,US-FL,Fort Myers,51970,68,1,79301,2,1,11.281006,1077444,1038,6.9450512,13.890102
16,ABESFO,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,41,2833.3809,116168.62,116.5,11.662807,0,0,1,0,0,0,0,0,0,1,1,287,2524.1567,724433,113.5,13.493146,0,0,0,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,SFO,US-CA,San Francisco,776733,88,1,441682.5,1,1,12.998346,6250000,2500,7.8240461,15.648092
17,ABESTL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,29,1175,34075,108,10.436349,0,0,1,0,0,0,0,0,1,1,1,110,912,100320,103,11.51613,0,0,1,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,STL,US-MO,St Louis,348189,90,0,227410.5,0,0,12.334512,648025,805,6.6908422,13.381684
18,ABETPA,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,354,1100.1841,389465.16,115.5,12.872532,0,0,1,0,0,0,0,0,1,1,1,20,1666,33320,99,10.413943,0,0,1,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,TPA,US-FL,Tampa,303447,92,1,205039.5,2,1,12.230958,927369,963,6.8700533,13.740107
19,ABQALB,0,0,1,0,0,0,1,1,1,92,1874.2894,172434.63,83,12.057779,1,1,1,0,0,0,0,0,0,1,1,564,2031.3917,1145704.9,109.5,13.951531,0,1,0,0,0,0,0,0,1,1,1,22,1960,43120,102,10.671765,1,1,1,106,2119.4651,224663.3,55.5,12.322363,ABQ,US-NM,Albuquerque,448607,67,0,ALB,US-NY,Albany,95658,50,0,272132.5,1,0,12.514045,3359889,1833,7.5137091,15.027418
20,ABQATL,1,1,1,1,0,0,0,1,1,540,1355.8334,732150,98.5,13.503742,0,1,1,0,0,0,0,0,0,1,1,3329,1333.7223,4439961.5,142,15.306156,0,1,1,206,1570.2299,323467.34,33.5,12.686856,1,1,1,189,1508.3939,285086.44,108,12.560552,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,ATL,US-GA,Atlanta,416474,97,0,432540.5,4,0,12.977431,1610361,1269,7.1459846,14.291969
21,ABQAUS,1,1,1,0,0,1,0,1,1,627,754.22888,472901.5,106,13.066645,0,1,1,0,0,0,0,0,0,1,1,260,752,195520,123,12.183423,1,1,1,0,0,0,0,0,1,1,1,52,1117,58084,101.5,10.969663,0,1,1,3419,743.1853,2540950.5,57,14.748049,ABQ,US-NM,Albuquerque,448607,67,0,AUS,US-TX,Austin,656562,74,0,552584.5,4,0,13.222362,375769,613,6.418365,12.83673
